date,a,b,z
2025-12-15,4552.06,7113.962,0.2555208997084693
2025-12-16,4497.555,7001.319,0.555739494013735
2025-12-17,4579.875,7137.834,0.43860449367661064
2025-12-18,4552.793,7100.836,0.35434348738016225
2025-12-19,4568.178,7169.551,-0.19730159537390116
2025-12-22,4611.624,7255.661,-0.4330037330045685
2025-12-23,4620.734,7256.787,-0.3080157598953828
2025-12-24,4634.059,7352.04,-1.218809066286931
2025-12-25,4642.536,7410.712,-1.7989930981194027
2025-12-26,4657.24,7458.838,-2.0826137913084524
2025-12-29,4639.372,7430.615,-2.0421532123818897
2025-12-30,4651.282,7458.936,-2.0961389214086674
2025-12-31,4629.94,7465.574,-2.4849397173038663
2026-01-05,4717.746,7651.198,-2.839843531842676
2026-01-06,4790.694,7814.136,-3.09174808798208
2026-01-07,4776.666,7875.082,-3.5417081355817728
2026-01-08,4737.654,7894.545,-3.712204818907381
2026-01-09,4758.922,8056.686,-3.9555534989263292
2026-01-12,4789.916,8249.128,-4.043618394402778
2026-01-13,4761.032,8143.28,-3.3104410491255316
2026-01-14,4741.931,8227.697,-3.4149984763116152
2026-01-15,4751.429,8223.269,-3.001907884062202
2026-01-16,4731.873,8232.674,-2.8896260209944264
2026-01-19,4734.456,8287.947,-2.8132665161008847
2026-01-20,4718.878,8247.805,-2.5617846604814267
2026-01-21,4723.069,8340.113,-2.6188490520578767
2026-01-22,4723.709,8387.595,-2.5541814631645092
2026-01-23,4702.497,8590.166,-2.933748188096974
2026-01-26,4706.964,8506.693,-2.5013813734988593
2026-01-27,4705.692,8548.932,-2.4303853120365533
2026-01-28,4717.991,8601.164,-2.3364194124554576
2026-01-29,4753.87,8517.843,-1.9077667998483705
2026-01-30,4706.34,8370.521,-1.6938017949214572
2026-02-02,4605.98,8037.045,-1.3015919109784075
2026-02-03,4660.107,8286.7,-1.571684497318443
2026-02-04,4698.683,8299.058,-1.3994056134495316
2026-02-05,4670.419,8146.107,-1.142927916204015
2026-02-06,4643.596,8146.413,-1.1997894663991124
2026-02-09,4719.056,8311.283,-1.2227641566936835
2026-02-10,4724.296,8306.444,-1.1539627769064678
2026-02-11,4713.819,8325.811,-1.1884170128671974
2026-02-12,4719.578,8423.569,-1.3136866052408844
2026-02-13,4660.406,8299.585,-1.23353643186748
2026-02-24,4707.544,8392.91,-1.2098078837399888
2026-02-25,4735.886,8527.56,-1.326403212042727
2026-02-26,4726.874,8557.216,-1.3653442697860911
2026-02-27,4710.647,8658.45,-1.5519665703266674
2026-03-02,4728.669,8658.334,-1.4385203155114856
2026-03-03,4655.896,8281.614,-0.9420291525060778
2026-03-04,4602.625,8248.945,-1.0303873649753297
2026-03-05,4647.692,8309.171,-0.9586043438479127
2026-03-06,4660.439,8360.335,-0.9828675456707715
2026-03-09,4615.455,8279.481,-0.9524204651275177
2026-03-10,4674.756,8410.303,-0.9713757640959715
2026-03-11,4704.496,8403.33,-0.8223359835287883
2026-03-12,4687.56,8359.472,-0.7676899298294841
2026-03-13,4669.14,8239.798,-0.5583045223520047
2026-03-16,4671.559,8185.152,-0.40376844576079135
2026-03-17,4637.439,8016.026,-0.1259549830842888
2026-03-18,4658.332,8096.428,-0.2019624090180826
2026-03-19,4583.251,7877.09,0.04802034869052684
2026-03-20,4567.018,7760.037,0.3171775413392431
