date,a,b,z
2025-10-10,3897.028,13355.419,-1.3845928401972223
2025-10-13,3889.502,13231.466,-1.1793277169423113
2025-10-14,3865.229,12895.107,-0.7144378042017976
2025-10-15,3912.21,13118.754,-0.8025853315914644
2025-10-16,3916.228,13086.409,-0.6960672591337004
2025-10-17,3839.755,12688.936,-0.41638225812515334
2025-10-20,3863.893,12813.208,-0.47466988223615497
2025-10-21,3916.332,13077.316,-0.6133169126318684
2025-10-22,3913.758,12996.608,-0.4585825902031561
2025-10-23,3922.41,13025.446,-0.43516897523246745
2025-10-24,3950.312,13289.185,-0.7244236483467897
2025-10-27,3996.945,13489.403,-0.7758394962681762
2025-10-28,3988.224,13430.104,-0.6946033823870079
2025-10-29,4016.331,13691.383,-0.9679956076439162
2025-10-30,3986.901,13532.126,-0.8307545535365226
2025-10-31,3954.79,13378.212,-0.7195907347017513
2025-11-03,3976.521,13404.063,-0.6023177943721395
2025-11-04,3960.186,13175.221,-0.2289204153268421
2025-11-05,3969.248,13223.56,-0.237118568893049
2025-11-06,4007.76,13452.417,-0.4208388026624654
2025-11-07,3997.556,13404.056,-0.36215991328299635
2025-11-10,4018.597,13427.612,-0.22341247328129585
2025-11-11,4002.758,13289.005,0.019547804236345084
2025-11-12,4000.14,13240.616,0.1642537728508194
2025-11-13,4029.501,13476.521,-0.16657759789229626
2025-11-14,3990.492,13216.031,0.23592828441903224
2025-11-17,3972.035,13202.005,0.1401215256523835
2025-11-18,3939.813,13080.488,0.2210698025747038
2025-11-19,3946.742,13080.086,0.3377005522049703
2025-11-20,3931.051,12980.818,0.5470042501740776
2025-11-21,3834.891,12538.071,1.0663068477483524
2025-11-24,3836.766,12585.084,0.9785603102432745
2025-11-25,3870.023,12777.313,0.7089741384252265
2025-11-26,3864.184,12907.834,0.15076704090923326
2025-11-27,3875.259,12875.195,0.46984567995120735
2025-11-28,3888.596,12984.081,0.22274557509993761
2025-12-01,3914.006,13146.716,-0.08420772271058524
2025-12-02,3897.712,13056.701,0.07612841666424237
2025-12-03,3878.0,12955.253,0.25821083744099627
2025-12-04,3875.793,13006.717,0.025337280731296256
2025-12-05,3902.808,13147.677,-0.16113009870736208
2025-12-08,3924.078,13329.99,-0.6464289491121084
2025-12-09,3909.522,13277.362,-0.6081272008086307
2025-12-10,3900.496,13316.424,-0.9032247773597082
2025-12-11,3873.318,13147.387,-0.5171218500135117
2025-12-12,3889.346,13258.328,-0.7661520217548574
2025-12-15,3867.921,13112.089,-0.39932707587413085
2025-12-16,3824.812,12914.668,-0.14651916021774947
2025-12-17,3870.278,13224.514,-0.8817262266671976
2025-12-18,3876.371,13053.975,0.019178960745344382
2025-12-19,3890.448,13140.215,-0.1793528926633607
2025-12-22,3917.364,13332.731,-0.673441884335543
2025-12-23,3919.979,13368.989,-0.8193604785718595
2025-12-24,3940.947,13486.419,-1.0461096947340256
2025-12-25,3959.621,13531.411,-0.993069286430018
2025-12-26,3963.679,13603.894,-1.3427649384635774
2025-12-29,3965.28,13537.097,-1.0077003853168867
2025-12-30,3965.116,13604.067,-1.4307342014225404
2025-12-31,3968.84,13525.022,-1.0165443299251913
2026-01-05,4023.417,13828.63,-1.7645328640946287
2026-01-06,4083.667,14022.552,-1.6800144521934328
2026-01-07,4085.772,14030.559,-1.645027128809001
2026-01-08,4082.979,13959.482,-1.2566598665785154
2026-01-09,4120.426,14120.151,-1.3847370246265336
2026-01-12,4165.287,14366.908,-1.791110513656046
2026-01-13,4138.759,14169.397,-1.200405266327548
2026-01-14,4126.093,14248.599,-1.7647601967013373
2026-01-15,4112.601,14306.726,-2.1684314693721745
2026-01-16,4101.913,14281.08,-2.10750485250481
2026-01-19,4114.0,14294.053,-1.8782020701677489
2026-01-20,4113.649,14155.628,-1.1919018824466063
2026-01-21,4116.94,14255.125,-1.5423950097334571
2026-01-22,4122.576,14327.045,-1.7030384808511612
2026-01-23,4136.164,14439.658,-1.9065785178045203
2026-01-26,4132.605,14316.637,-1.3895840912418056
2026-01-27,4139.904,14329.906,-1.296629940835714
2026-01-28,4151.238,14342.895,-1.1507386967201707
2026-01-29,4157.985,14300.076,-0.8496847441877121
2026-01-30,4117.948,14205.893,-0.9972575330812872
2026-02-02,4015.746,13824.352,-0.8460864791656632
2026-02-03,4067.738,14127.105,-1.316229254276622
2026-02-04,4102.202,14156.273,-0.9133127797481853
2026-02-05,4075.917,13952.712,-0.4192728799713014
2026-02-06,4065.583,13906.734,-0.3488700265283957
2026-02-09,4123.09,14208.436,-0.7699507362973019
2026-02-10,4128.373,14210.626,-0.6758178776551701
2026-02-11,4131.985,14160.934,-0.38019554021055574
2026-02-12,4134.018,14282.998,-0.8626152498795399
2026-02-13,4082.073,14100.189,-0.821951017893308
2026-02-24,4117.409,14291.565,-1.119199177290077
2026-02-25,4147.231,14475.865,-1.5110601768035987
2026-02-26,4146.631,14503.786,-1.6745321519002232
2026-02-27,4162.882,14495.093,-1.332255799541568
2026-03-02,4182.591,14465.788,-0.7696115184435739
2026-03-03,4122.676,14022.392,0.673886092029532
2026-03-04,4082.474,13917.752,0.5261177937769905
2026-03-05,4108.567,14088.839,0.026531032597319645
2026-03-06,4124.194,14172.627,-0.139793483855962
2026-03-09,4096.602,14067.503,-0.02445460665506204
2026-03-10,4123.138,14354.073,-1.440686758844978
2026-03-11,4133.433,14465.41,-1.9493953752710564
2026-03-12,4129.103,14374.871,-1.3347555946631606
2026-03-13,4095.449,14280.78,-1.458803312111075
2026-03-16,4084.786,14307.577,-1.8521199225181082
2026-03-17,4049.907,14039.73,-0.7342083450941614
2026-03-18,4062.984,14187.796,-1.457625574231487
2026-03-19,4006.552,13901.567,-0.7520341640057617
2026-03-20,3957.053,13866.202,-1.7844709732180506
2026-03-23,3813.283,13345.514,-1.5798017993672753
2026-03-24,3881.28,13536.556,-1.1981735479074822
2026-03-25,3931.838,13801.001,-1.9002289600301647
